seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,per_component_half_bin_hit,all_components_half_bin_hit,gate_pass,minimum_candidate_margin,boundary_saturation_rate,fft_support_ms,local_update_ms,grid_ls_ms,final_ls_ms,gate_decision_ms,wall_clock_ms
20260630,0.0,2,15,one_step_fixed_support_newton_joint_ls,-6.5099450346200065,0.0,0,0,nan,nan,1.7134,12.2171,0.0,3.8929,0.0,17.7372
20260630,0.0,2,15,cartesian_local_joint_ls,-7.695350843107205,0.5,0,0,0.04279402648888259,0.16666666666666666,1.6679,0.6298,0.0,3.8317,0.0,6.1759
20260630,0.0,2,15,residual_gated_cartesian_local_joint_ls,-7.695350843107205,0.5,0,1,0.04279402648888259,0.16666666666666666,1.6963,0.61,3.8959,3.976,0.8235,11.0017
20260630,0.0,2,15,grid_fft_topL_joint_ls,-5.200427963208502,0.0,0,0,nan,nan,1.6838,0.0,0.0,3.8837,0.0,5.5954
20260630,0.0,2,16,axiswise_candan_joint_ls,-18.568220129684295,0.5,0,0,nan,nan,1.6547,1.5889,0.0,4.0689,0.0,7.3029
20260630,0.0,2,16,residual_gated_candan_joint_ls,-18.568220129684295,0.5,0,1,nan,nan,1.6644,1.6159,3.8479,3.8108,0.723,11.7025
20260630,0.0,2,16,one_step_fixed_support_newton_joint_ls,-3.722017657923934,0.0,0,0,nan,nan,1.6227,13.4534,0.0,3.8658,0.0,18.9923
20260630,0.0,2,16,cartesian_local_joint_ls,-17.828075387074364,0.5,0,0,0.008310328620991837,0.16666666666666666,1.683,0.6049,0.0,3.9965,0.0,6.3148
20260630,0.0,2,16,residual_gated_cartesian_local_joint_ls,-17.828075387074364,0.5,0,1,0.008310328620991837,0.16666666666666666,1.6506,0.6438,4.0296,3.8152,0.7409,10.835500000000001
20260630,0.0,2,16,grid_fft_topL_joint_ls,-3.722017657923934,0.0,0,0,nan,nan,1.6543,0.0,0.0,3.8746,0.0,5.5156
20260630,0.0,2,16,axiswise_quadratic_peak_joint_ls,-4.420880765871425,0.0,0,0,nan,nan,1.6418,1.6427,0.0,4.0504,0.0,7.3064
20260630,0.0,2,17,residual_gated_candan_joint_ls,-38.30848180253456,1.0,1,1,nan,nan,1.7231,1.7123,4.0787,4.08,0.7651,12.3192
20260630,0.0,2,17,one_step_fixed_support_newton_joint_ls,-10.035853112920686,1.0,1,0,nan,nan,1.7408,10.5133,0.0,3.8297,0.0,16.104
20260630,0.0,2,17,cartesian_local_joint_ls,-13.681723734573659,1.0,1,0,0.0062569224149649685,0.0,1.673,0.6012,0.0,3.8913,0.0,6.1488
20260630,0.0,2,17,residual_gated_cartesian_local_joint_ls,-13.681723734573659,1.0,1,1,0.0062569224149649685,0.0,1.697,0.6265,3.9199,3.8807,0.7291,10.8442
20260630,0.0,2,17,grid_fft_topL_joint_ls,-5.711457893817843,1.0,1,0,nan,nan,1.789,0.0,0.0,4.0041,0.0,5.7931
20260630,0.0,2,17,axiswise_quadratic_peak_joint_ls,-6.336960357492373,1.0,1,0,nan,nan,1.6539,1.665,0.0,3.9878,0.0,7.3661
20260630,0.0,2,17,axiswise_candan_joint_ls,-38.30848180253456,1.0,1,0,nan,nan,1.7476,1.6393,0.0,3.9928,0.0,7.3372
20260630,0.0,2,18,one_step_fixed_support_newton_joint_ls,-8.95529351433325,1.0,1,0,nan,nan,1.6914,12.0425,0.0,3.9359,0.0,17.8141
20260630,0.0,2,18,cartesian_local_joint_ls,-12.687930625475692,1.0,1,0,0.002261695086646344,0.0,1.7435,0.6279,0.0,4.1317,0.0,6.5352
20260630,0.0,2,18,residual_gated_cartesian_local_joint_ls,-12.687930625475692,1.0,1,1,0.002261695086646344,0.0,1.7496,0.6429,4.0715,3.9963,0.8062,11.2665
20260630,0.0,2,18,grid_fft_topL_joint_ls,-7.288515333888434,1.0,1,0,nan,nan,1.7216,0.0,0.0,3.8023,0.0,5.5171
20260630,0.0,2,18,axiswise_quadratic_peak_joint_ls,-7.859379552718763,1.0,1,0,nan,nan,1.6792,1.6082,0.0,3.8877,0.0,7.2562
20260630,0.0,2,18,axiswise_candan_joint_ls,-34.81791454635634,1.0,1,0,nan,nan,1.6702,1.5809,0.0,3.9645,0.0,7.2156
20260630,0.0,2,18,residual_gated_candan_joint_ls,-34.81791454635634,1.0,1,1,nan,nan,1.7647,1.7547,3.9789,4.0491,0.7742,12.2868
20260630,0.0,2,19,cartesian_local_joint_ls,-12.746220251856153,1.0,1,0,0.020074715497115026,0.0,1.6807,0.602,0.0,3.9777,0.0,6.260400000000001
20260630,0.0,2,19,residual_gated_cartesian_local_joint_ls,-12.746220251856153,1.0,1,1,0.020074715497115026,0.0,1.6763,0.636,3.8668,3.8055,0.7051,10.7752
20260630,0.0,2,19,grid_fft_topL_joint_ls,-8.336106027573175,1.0,1,0,nan,nan,1.6925,0.0,0.0,3.8256,0.0,5.5509
20260630,0.0,2,19,axiswise_quadratic_peak_joint_ls,-8.535539672015707,1.0,1,0,nan,nan,1.6756,1.6413,0.0,4.013,0.0,7.258
20260630,0.0,2,19,axiswise_candan_joint_ls,-41.0542711494654,1.0,1,0,nan,nan,1.6856,1.6114,0.0,3.9836,0.0,7.3605
20260630,0.0,2,19,residual_gated_candan_joint_ls,-41.0542711494654,1.0,1,1,nan,nan,1.7398,1.595,3.7933,3.79,0.7296,11.6481
20260630,0.0,2,19,one_step_fixed_support_newton_joint_ls,-11.431449510197588,1.0,1,0,nan,nan,1.8173,10.6722,0.0,3.8661,0.0,16.4779
20260630,0.0,4,0,residual_gated_cartesian_local_joint_ls,-9.935491087561829,0.75,0,1,0.0014349876034407919,0.16666666666666666,1.8741,1.3476,7.6188,7.6769,0.8359,19.182999999999996
20260630,0.0,4,0,grid_fft_topL_joint_ls,-4.458866300654672,0.5,0,0,nan,nan,1.6688,0.0,0.0,7.2427,0.0,8.920300000000001
20260630,0.0,4,0,axiswise_quadratic_peak_joint_ls,-5.061040266912801,0.5,0,0,nan,nan,1.6351,1.739,0.0,7.0879,0.0,10.4595
20260630,0.0,4,0,axiswise_candan_joint_ls,-12.395544250979825,0.75,0,0,nan,nan,1.6737,1.6621,0.0,7.1967,0.0,10.532499999999999
20260630,0.0,4,0,residual_gated_candan_joint_ls,-12.395544250979825,0.75,0,1,nan,nan,1.7265,1.7543,7.3205,7.237,0.7399,18.7573
20260630,0.0,4,0,one_step_fixed_support_newton_joint_ls,-6.348435157042972,0.5,0,0,nan,nan,1.7182,24.4439,0.0,7.311,0.0,33.4039
20260630,0.0,4,0,cartesian_local_joint_ls,-9.935491087561829,0.75,0,0,0.0014349876034407919,0.16666666666666666,1.6856,1.0804,0.0,7.042,0.0,9.885
20260630,0.0,4,1,grid_fft_topL_joint_ls,-5.668766012939938,0.25,0,0,nan,nan,1.6439,0.0,0.0,7.7019,0.0,9.341000000000001
20260630,0.0,4,1,axiswise_quadratic_peak_joint_ls,-6.117999225372756,0.25,0,0,nan,nan,1.7492,1.822,0.0,7.4467,0.0,11.110299999999999
20260630,0.0,4,1,axiswise_candan_joint_ls,-12.336811356950097,0.5,0,0,nan,nan,1.6533,1.6277,0.0,7.2195,0.0,10.5577
20260630,0.0,4,1,residual_gated_candan_joint_ls,-12.336811356950097,0.5,0,1,nan,nan,1.7201,1.7295,7.45,7.36,0.756,18.9038
20260630,0.0,4,1,one_step_fixed_support_newton_joint_ls,-7.111258047209276,0.0,0,0,nan,nan,1.7546,25.3368,0.0,7.3389,0.0,34.5281
20260630,0.0,4,1,cartesian_local_joint_ls,-11.431325585252083,0.5,0,0,0.07017648081222506,0.16666666666666666,1.6385,1.0755,0.0,7.2037,0.0,9.884500000000001
20260630,0.0,4,1,residual_gated_cartesian_local_joint_ls,-11.431325585252083,0.5,0,1,0.07017648081222506,0.16666666666666666,1.6822,1.3306,7.0525,7.1756,0.7284,18.073700000000002
20260630,0.0,4,2,axiswise_quadratic_peak_joint_ls,-5.444461447229422,0.75,0,0,nan,nan,1.6593,1.6684,0.0,7.1154,0.0,10.446100000000001
20260630,0.0,4,2,axiswise_candan_joint_ls,-14.992000949162588,0.75,0,0,nan,nan,1.6623,1.6583,0.0,7.0868,0.0,10.488900000000001
