split,seed,snr_db,n_targets,sample_index,search_radius,measurement_nmse_db,gain_vs_grid_db,per_component_half_bin_hit,harmful_update,candidate_axis_correctness,boundary_saturation_rate,minimum_candidate_margin
validation,20260808,0.0,4,4,0.55,-10.718541811463913,5.86367680159972,0.75,0.0,0.75,0.16666666666666666,0.01801447334637652
validation,20260808,0.0,4,5,0.25,-9.513967193989203,6.066652058984236,0.75,0.0,0.8333333333333334,0.5,0.006209525020718796
validation,20260808,0.0,4,5,0.35,-9.727494699883227,6.28017956487826,0.75,0.0,0.75,0.4166666666666667,0.0014608801411467194
validation,20260808,0.0,4,5,0.45,-9.016642764312625,5.569327629307658,0.75,0.0,0.75,0.16666666666666666,0.020554238816287807
validation,20260808,0.0,4,5,0.5,-8.870498581369707,5.423183446364741,0.75,0.0,0.75,0.16666666666666666,0.0464715415395263
validation,20260808,0.0,4,5,0.55,-8.650374343103064,5.203059208098097,0.75,0.0,0.75,0.16666666666666666,0.028883270079921603
validation,20260808,0.0,4,6,0.25,-14.84152616658865,11.155534506553966,1.0,0.0,1.0,0.4166666666666667,0.020648086629535833
validation,20260808,0.0,4,6,0.35,-19.216352087074085,15.530360427039401,1.0,0.0,1.0,0.3333333333333333,0.008938823433261635
validation,20260808,0.0,4,6,0.45,-12.657353171407202,8.971361511372518,1.0,0.0,1.0,0.08333333333333333,0.02060233328010177
validation,20260808,0.0,4,6,0.5,-11.342914426696375,7.65692276666169,1.0,0.0,1.0,0.08333333333333333,0.0017840478864910333
validation,20260808,0.0,4,6,0.55,-10.891542974772367,7.205551314737683,1.0,0.0,1.0,0.0,0.0009351882815613254
validation,20260808,0.0,4,7,0.25,-5.045907737105119,2.8323053335323647,0.5,0.0,0.5833333333333334,0.6666666666666666,0.011322893248389306
validation,20260808,0.0,4,7,0.35,-5.167095883960233,2.9534934803874786,0.5,0.0,0.5833333333333334,0.6666666666666666,0.007106867468464331
validation,20260808,0.0,4,7,0.45,-5.005358600958147,2.7917561973853933,0.5,0.0,0.5833333333333334,0.5833333333333334,0.023933603043154724
validation,20260808,0.0,4,7,0.5,-4.557613125122968,2.3440107215502137,0.5,0.0,0.5833333333333334,0.5,0.027055568614786002
validation,20260808,0.0,4,7,0.55,-5.022445008561873,2.808842604989119,0.5,0.0,0.5,0.3333333333333333,0.011600968280064171
validation,20260808,0.0,4,8,0.25,-8.935779926899077,5.456258210383702,0.25,0.0,0.4166666666666667,0.75,0.023965355988448442
validation,20260808,0.0,4,8,0.35,-9.729433039904261,6.249911323388886,0.25,0.0,0.4166666666666667,0.6666666666666666,0.021501384668659723
validation,20260808,0.0,4,8,0.45,-9.720869976569745,6.2413482600543695,0.25,0.0,0.25,0.4166666666666667,0.007408504893139899
validation,20260808,0.0,4,8,0.5,-9.754456000559886,6.274934284044511,0.25,0.0,0.25,0.25,0.001802243917270994
validation,20260808,0.0,4,8,0.55,-9.615880760623925,6.13635904410855,0.25,0.0,0.25,0.25,0.03292291012121929
validation,20260808,0.0,4,9,0.25,-9.1736281492472,4.618128188738839,0.5,0.0,0.5833333333333334,0.5,0.019301842591686397
validation,20260808,0.0,4,9,0.35,-8.99082470664418,4.4353247461358185,0.5,0.0,0.5,0.3333333333333333,0.01845005378422024
validation,20260808,0.0,4,9,0.45,-8.515344539313292,3.9598445788049306,0.5,0.0,0.5,0.3333333333333333,0.013034519015855948
validation,20260808,0.0,4,9,0.5,-7.653646328953742,3.0981463684453807,0.5,0.0,0.5,0.3333333333333333,0.003766275527943572
validation,20260808,0.0,4,9,0.55,-8.114892773936536,3.5593928134281745,0.5,0.0,0.5,0.25,0.01651146303787242
validation,20260808,0.0,4,10,0.25,-13.474462186160602,7.729354848331812,0.5,0.0,0.5,0.3333333333333333,0.022795504969573305
validation,20260808,0.0,4,10,0.35,-13.226150730164882,7.481043392336091,0.5,0.0,0.5,0.3333333333333333,0.004279918037886135
validation,20260808,0.0,4,10,0.45,-11.845186573203954,6.100079235375163,0.5,0.0,0.5,0.25,0.007666376349832715
validation,20260808,0.0,4,10,0.5,-10.9973604474478,5.2522531096190095,0.5,0.0,0.5,0.25,0.04498344205304399
validation,20260808,0.0,4,10,0.55,-10.258744284987573,4.5136369471587825,0.5,0.0,0.5,0.25,0.02745832318016694
validation,20260808,0.0,4,11,0.25,-9.223807106655768,6.6604302393511094,0.5,0.0,0.5833333333333334,0.9166666666666666,0.0011034695142732606
validation,20260808,0.0,4,11,0.35,-9.314729084514754,6.751352217210096,0.5,0.0,0.5833333333333334,0.8333333333333334,0.007589264212805306
validation,20260808,0.0,4,11,0.45,-9.692161361896506,7.128784494591848,0.5,0.0,0.5,0.5,0.06127743118937634
validation,20260808,0.0,4,11,0.5,-8.884648517336043,6.321271650031385,0.5,0.0,0.5,0.5,0.03701452135900716
validation,20260808,0.0,4,11,0.55,-9.830283615158704,7.266906747854046,0.5,0.0,0.5,0.3333333333333333,0.02666977594244057
