profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260626.0,15.0,0.0,4.0,-5.300776615984347,0.75,0.7069981193101093,0.9926405276487074,0.7122398286364485,40.0,181.0,1.0,0.75,0.0,0.5,1.000000043735266
A,20260626.0,16.0,0.0,4.0,-6.161814161148806,1.0,0.7598692831887426,1.0,0.7598692831887426,32.0,143.0,1.0,1.0,0.0,0.0,0.9999999506735873
A,20260626.0,17.0,0.0,4.0,-5.808024991177917,1.0,0.7389931176709301,0.9999999999999999,0.7389931176709302,40.0,181.0,1.0,1.0,0.0,0.0,1.0000001187772194
A,20260626.0,18.0,0.0,4.0,-3.965797758860244,1.0,0.6010250265039547,1.0,0.6010250265039547,58.0,244.0,1.0,1.0,0.0,0.0,0.9999998749278826
A,20260626.0,19.0,0.0,4.0,-4.52103733843426,0.75,0.6501584489225641,0.9640462862147392,0.6744058435984087,42.0,193.0,1.0,0.75,0.0,1.0,1.000000031921816
A,20260626.0,20.0,0.0,4.0,-3.350475079785314,0.75,0.5391548371474635,0.9987955437945364,0.53980500863986,62.0,270.0,0.75,0.75,0.5,0.5,1.0000001421500597
A,20260626.0,21.0,0.0,4.0,-4.753644140172112,1.0,0.6667857370298381,0.9999999999999999,0.6667857370298382,41.0,194.0,1.0,1.0,0.0,0.0,0.9999999969908056
A,20260626.0,22.0,0.0,4.0,-6.362337939741684,1.0,0.7714159271665827,1.0,0.7714159271665827,28.0,124.0,1.0,1.0,0.0,0.0,1.0000000117268963
A,20260626.0,23.0,0.0,4.0,-4.453499370992015,0.75,0.6423099939338154,0.9863752380670034,0.6511821963338702,48.0,212.0,0.75,0.75,0.5,0.7071067811865476,1.000000099959899
A,20260626.0,24.0,0.0,4.0,-5.567923866113382,1.0,0.7236385498106782,1.0000000000000002,0.7236385498106781,43.0,195.0,1.0,1.0,0.0,0.0,0.9999999632338247
A,20260626.0,25.0,0.0,4.0,-5.603344712134421,1.0,0.7258226898510184,1.0,0.7258226898510184,45.0,205.0,1.0,1.0,0.0,0.0,0.9999999569286913
A,20260626.0,26.0,0.0,4.0,-4.302801401152215,1.0,0.6310223122121353,1.0,0.6310223122121353,38.0,158.0,1.0,1.0,0.0,0.0,1.00000006515145
A,20260626.0,27.0,0.0,4.0,-7.62959348162931,0.75,0.8317930758921588,0.9917626084456351,0.8387017909414909,19.0,72.0,1.0,0.75,0.0,0.8660254037844386,0.9999999503670882
A,20260626.0,28.0,0.0,4.0,-3.31843764666258,1.0,0.5354311900453129,1.0,0.5354311900453129,81.0,334.0,1.0,1.0,0.0,0.0,0.9999999858250643
A,20260626.0,29.0,0.0,4.0,-5.515071841237519,1.0,0.7196693557215154,0.9999999999999999,0.7196693557215155,33.0,149.0,1.0,1.0,0.0,0.0,0.9999999702605877
A,20260626.0,30.0,0.0,4.0,-6.148057951638314,1.0,0.7588795544247747,1.0,0.7588795544247747,25.0,112.0,1.0,1.0,0.0,0.0,0.9999999090958394
A,20260626.0,31.0,0.0,4.0,-4.085541718697913,1.0,0.6118616550931444,1.0,0.6118616550931444,52.0,228.0,1.0,1.0,0.0,0.0,0.9999997232978964
A,20260626.0,32.0,0.0,4.0,-5.9124924829941765,1.0,0.745066196469209,1.0,0.745066196469209,36.0,174.0,1.0,1.0,0.0,0.0,0.999999981766174
