profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
D,20260626.0,20.0,8.0,50.0,-18.34481054411846,0.9825,0.98432452920497,0.9999886258453929,0.9843357316922661,1.92,12.42,0.99,0.985,0.09570261566850617,0.09346065214951231
D,20260626.0,20.0,16.0,50.0,-21.617085128461625,0.97,0.9926684076403908,0.9999660853165578,0.9927020270806723,1.92,12.42,0.97375,0.97125,0.4421270277060026,0.33868353450407257
D,20260626.0,30.0,4.0,50.0,-15.883387280124277,1.0,0.9725806262680093,1.0,0.9725806262680093,1.92,12.42,1.0,1.0,0.0,0.0
D,20260626.0,30.0,8.0,50.0,-18.3595075307877,0.9925,0.9843354524087214,0.9999997171384243,0.9843357316922661,1.92,12.42,0.995,0.9925,0.03313189637653067,0.029953523924572848
D,20260626.0,30.0,16.0,50.0,-21.682794820007107,0.9825,0.9926976746906164,0.9999956231702589,0.9927020270806723,1.92,12.42,0.985,0.9825,0.368480727023665,0.20805089006989141
D,20260627.0,0.0,4.0,50.0,-15.188303596561331,0.795,0.9718140654267086,0.997671119653072,0.9740897371877456,1.8,11.54,0.85,0.835,3.6938921771926747,0.8301855411184513
D,20260627.0,0.0,8.0,50.0,-15.171210596557884,0.6625,0.9800921589928894,0.9943507526506052,0.9856667597938186,1.8,11.54,0.7025,0.7175,14.83439801102247,2.1443490082235677
D,20260627.0,0.0,16.0,50.0,-13.182925799030558,0.43875,0.9828309613145555,0.9893753462305444,0.9933857236158345,1.8,11.54,0.4675,0.6225,24.40747960570098,2.7943904849769035
D,20260627.0,10.0,4.0,50.0,-16.063121372655765,0.93,0.9739242463751491,0.9998289077284455,0.9740897371877456,1.8,11.54,0.94,0.935,0.3321090483770944,0.24605721787823398
D,20260627.0,10.0,8.0,50.0,-18.546353814047208,0.9425,0.9855451598719971,0.9998764365457447,0.9856667597938186,1.8,11.54,0.95,0.955,0.4887215178303611,0.34029504658593657
D,20260627.0,10.0,16.0,50.0,-21.13039276866071,0.8925,0.9929248931737217,0.9995362714639843,0.9933857236158345,1.8,11.54,0.91625,0.9025,2.065859727848401,0.9015327865475985
D,20260627.0,20.0,4.0,50.0,-16.12388255831518,0.97,0.9740806022125189,0.999990613787566,0.9740897371877456,1.8,11.54,0.985,0.97,0.2,0.17146264369941974
D,20260627.0,20.0,8.0,50.0,-18.698108112652132,0.975,0.9856577065028037,0.9999908229564848,0.9856667597938186,1.8,11.54,0.9825,0.9775,0.1389484732906895,0.11676619087329466
D,20260627.0,20.0,16.0,50.0,-22.002575209628613,0.98,0.9933613206473828,0.9999754424214745,0.9933857236158345,1.8,11.54,0.9875,0.9825,0.31672446559746165,0.21596400648018302
D,20260627.0,30.0,4.0,50.0,-16.12871850739642,0.99,0.9740892881275325,0.9999995364123052,0.9740897371877456,1.8,11.54,0.995,0.99,0.01,0.04
D,20260627.0,30.0,8.0,50.0,-18.7133746567632,0.9925,0.9856656962177311,0.9999989284733521,0.9856667597938186,1.8,11.54,0.9925,0.995,0.08245165457218395,0.05088448176547862
D,20260627.0,30.0,16.0,50.0,-22.072800520840495,0.98875,0.9933810591110039,0.999995302338537,0.9933857236158345,1.8,11.54,0.99,0.99,0.13417224642687592,0.1065641361696521
