profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
C,20260626.0,3.0,10.0,4.0,-9.17155192427969,0.75,0.8818762044059831,1.0,0.0,0.09999999478268316
C,20260626.0,0.0,10.0,8.0,-11.154802664282265,0.75,0.9267702869311514,0.8660254037844386,0.6123724356957945,0.1000000016861005
C,20260626.0,1.0,10.0,8.0,-10.464118303001662,1.0,0.9153457635727116,0.0,0.0,0.1000000129818989
C,20260626.0,2.0,10.0,8.0,-11.710344244448974,0.875,0.9364848777684923,0.7071067811865476,0.3535533905932738,0.09999999534684742
C,20260626.0,3.0,10.0,8.0,-11.303129060353141,0.875,0.9292422914662857,0.3535533905932738,0.3535533905932738,0.09999999478268316
C,20260626.0,0.0,10.0,16.0,-13.861170063723662,0.9375,0.9657268711452524,0.4330127018922193,0.25,0.1000000016861005
C,20260626.0,1.0,10.0,16.0,-12.931466965839302,0.9375,0.9579314841776604,1.0,0.0,0.1000000129818989
C,20260626.0,2.0,10.0,16.0,-13.344292301333843,0.75,0.9622015642755347,0.9354143466934853,0.25,0.09999999534684742
C,20260626.0,3.0,10.0,16.0,-13.46135754671909,0.8125,0.9640806423131482,0.4330127018922193,0.5590169943749475,0.09999999478268316
C,20260626.0,0.0,20.0,4.0,-9.947354534567669,0.75,0.8989402282310811,0.8660254037844386,0.0,0.01000000016861005
C,20260626.0,1.0,20.0,4.0,-7.481008352991188,1.0,0.8215939418782764,0.0,0.0,0.010000001298189889
C,20260626.0,2.0,20.0,4.0,-9.348532880267156,0.75,0.8839002965272659,0.8660254037844386,0.0,0.009999999534684743
C,20260626.0,3.0,20.0,4.0,-9.273374315564128,0.75,0.8818762044059831,1.0,0.0,0.009999999478268316
C,20260626.0,0.0,20.0,8.0,-12.105208935334646,1.0,0.9386665104887941,0.0,0.0,0.01000000016861005
C,20260626.0,1.0,20.0,8.0,-10.707928163725162,1.0,0.9153457635727116,0.0,0.0,0.010000001298189889
C,20260626.0,2.0,20.0,8.0,-11.960161233307772,1.0,0.9366114826365858,0.0,0.0,0.009999999534684743
C,20260626.0,3.0,20.0,8.0,-11.554166511598263,1.0,0.9303472343910408,0.0,0.0,0.009999999478268316
C,20260626.0,0.0,20.0,16.0,-15.101250443638708,0.9375,0.9697256878504907,0.3535533905932738,0.3535533905932738,0.01000000016861005
