profile,seed,snr_db,l_value,sample_index,grid_channel_nmse_db,candan_channel_nmse_db,candan_gain_vs_grid_db,candan_harmful_update
A,20260628,0.0,8,10,-8.094612738297984,-11.63927269099034,3.5446599526923563,0
A,20260628,0.0,8,11,-6.593103759236563,-11.31622673937085,4.723122980134287,0
A,20260628,0.0,8,12,-7.323831771224656,-11.59751797367398,4.2736862024493245,0
A,20260628,0.0,8,13,-7.655570491800479,-10.217356357592442,2.561785865791962,0
A,20260628,0.0,8,14,-6.984766665280776,-9.067435429353703,2.0826687640729267,0
A,20260628,0.0,8,15,-7.531447847395153,-10.60854342823108,3.077095580835927,0
A,20260628,0.0,8,16,-6.3616581936634065,-9.46348926046514,3.1018310668017337,0
A,20260628,0.0,8,17,-7.840720938543441,-15.725696476037026,7.884975537493585,0
A,20260628,0.0,8,18,-7.788763375564148,-11.405239064386507,3.6164756888223586,0
A,20260628,0.0,8,19,-9.28679461987581,-14.191947940330342,4.905153320454533,0
A,20260628,0.0,8,20,-7.798075845710772,-12.131285894788654,4.3332100490778815,0
A,20260628,0.0,8,21,-6.785908208359519,-9.555143963736572,2.7692357553770535,0
A,20260628,0.0,8,22,-7.3618545692307364,-10.897063714637403,3.5352091454066663,0
A,20260628,0.0,8,23,-7.451676705660585,-9.72338821226588,2.2717115066052944,0
A,20260628,0.0,8,24,-7.755795690841411,-13.01141251508994,5.25561682424853,0
A,20260628,0.0,8,25,-7.000776074122122,-9.327182814323175,2.326406740201053,0
A,20260628,0.0,8,26,-7.725507933030581,-12.60337550639618,4.877867573365599,0
A,20260628,0.0,8,27,-7.437093377633247,-12.642477916257093,5.2053845386238455,0
A,20260628,0.0,8,28,-7.050341947817261,-12.32685268389941,5.27651073608215,0
A,20260628,0.0,8,29,-7.487933373842668,-10.585082614680948,3.09714924083828,0
A,20260628,0.0,8,30,-8.238856148439964,-10.167909756163604,1.92905360772364,0
A,20260628,0.0,8,31,-5.883922373605362,-9.31728796647151,3.4333655928661475,0
A,20260628,0.0,8,32,-5.9393916319544005,-9.4716056608089,3.532214028854499,0
A,20260628,0.0,8,33,-7.260922456699339,-15.713917762423627,8.452995305724288,0
A,20260628,0.0,8,34,-6.768999297272091,-9.135519155000116,2.366519857728025,0
A,20260628,0.0,8,35,-9.6383804550883,-13.070454167147197,3.432073712058898,0
A,20260628,0.0,8,36,-9.068043476935262,-13.596005713238075,4.5279622363028125,0
A,20260628,0.0,8,37,-5.797410338715726,-11.292385485572618,5.494975146856892,0
A,20260628,0.0,8,38,-7.422329092961153,-12.665589217885184,5.243260124924031,0
A,20260628,0.0,8,39,-7.660666490109687,-16.376236814080094,8.715570323970407,0
A,20260628,0.0,8,40,-6.982536225754357,-11.458869885276584,4.476333659522227,0
A,20260628,0.0,8,41,-5.979390617671947,-9.301797734421875,3.322407116749928,0
A,20260628,0.0,8,42,-8.084805103892428,-11.046692379368665,2.9618872754762364,0
A,20260628,0.0,8,43,-6.198835935776152,-7.253171819699162,1.0543358839230095,0
A,20260628,0.0,8,44,-7.744663690706383,-12.217411321914447,4.4727476312080645,0
A,20260628,0.0,8,45,-7.609984090656239,-10.159618162285335,2.5496340716290966,0
A,20260628,0.0,8,46,-6.424522183798569,-9.262813543085219,2.83829135928665,0
A,20260628,0.0,8,47,-8.819441961319237,-14.51150011079283,5.692058149473594,0
A,20260628,0.0,8,48,-7.2679059032607904,-11.787847122592236,4.519941219331446,0
A,20260628,0.0,8,49,-7.464540307654486,-11.42189794065815,3.9573576330036637,0
A,20260628,0.0,16,0,-6.399448272505918,-7.782266197998596,1.3828179254926782,0
A,20260628,0.0,16,1,-6.004041639738108,-7.373782617400609,1.3697409776625014,0
