n_targets,trial,depth,nmse_db,fixed_depth_nmse_db,oracle_depth,oracle_nmse_db,oracle_gap_vs_fixed_db,oracle_depth_savings_percent
32.0,1.0,5.0,-15.547179869140546,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
32.0,1.0,6.0,-16.199492521853117,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
32.0,1.0,7.0,-16.389152419793433,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
32.0,1.0,8.0,-16.563290821587916,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
32.0,2.0,0.0,-5.750689878243814,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,2.0,1.0,-7.818726037522486,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,2.0,2.0,-9.911385653961233,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,2.0,3.0,-10.909991600103071,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,2.0,4.0,-12.362864831170928,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,2.0,5.0,-12.839079462826106,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,2.0,6.0,-13.158793583102009,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,2.0,7.0,-13.256640023768655,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,2.0,8.0,-13.30811948366181,-13.30811948366181,5.0,-12.839079462826106,0.4690400208357044,37.5
32.0,3.0,0.0,-6.248646320281485,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,3.0,1.0,-8.109039951238591,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,3.0,2.0,-11.536627172615578,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,3.0,3.0,-12.336609379329303,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,3.0,4.0,-14.527507902015389,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,3.0,5.0,-15.310935337270452,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,3.0,6.0,-15.73313122544146,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,3.0,7.0,-15.989059326324998,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,3.0,8.0,-16.05354333063676,-16.05354333063676,6.0,-15.73313122544146,0.3204121051953006,25.0
32.0,4.0,0.0,-5.816900494531307,-14.663510712957496,6.0,-14.387878687243546,0.27563202571394996,25.0
32.0,4.0,1.0,-8.0449875367714,-14.663510712957496,6.0,-14.387878687243546,0.27563202571394996,25.0
32.0,4.0,2.0,-10.665525429238281,-14.663510712957496,6.0,-14.387878687243546,0.27563202571394996,25.0
