profile,seed,L,snr_db,sample,method,nmse_db,newton_updates,wall_ms
A,3101,16,20.0,4,deterministic,-18.885713167918517,0,4.48
A,3101,16,20.0,4,controller,-17.61558565068895,0,5.26
A,3101,16,20.0,4,nomp2d,-24.353445726996913,448,173.66
A,3101,16,20.0,5,grid,-9.905551624732166,0,0.28
A,3101,16,20.0,5,deterministic,-13.399319782733025,0,4.61
A,3101,16,20.0,5,controller,-15.358137180631886,0,5.4
A,3101,16,20.0,5,nomp2d,-26.21282639914828,468,172.21
A,3101,16,30.0,0,grid,-11.059350143432404,0,0.45
A,3101,16,30.0,0,deterministic,-15.23479918085168,0,5.44
A,3101,16,30.0,0,controller,-12.636158704097515,0,6.38
A,3101,16,30.0,0,nomp2d,-31.71820481332886,489,175.82
A,3101,16,30.0,1,grid,-11.160794146780882,0,0.3
A,3101,16,30.0,1,deterministic,-17.36209923314123,0,4.5
A,3101,16,30.0,1,controller,-13.73405160972171,0,5.29
A,3101,16,30.0,1,nomp2d,-34.54557790251635,468,170.74
A,3101,16,30.0,2,grid,-10.618426028396229,0,0.31
A,3101,16,30.0,2,deterministic,-14.024766122041413,0,4.47
A,3101,16,30.0,2,controller,-13.653347857509788,0,5.29
A,3101,16,30.0,2,nomp2d,-35.034397803672526,500,177.32
A,3101,16,30.0,3,grid,-12.227215420474575,0,0.28
A,3101,16,30.0,3,deterministic,-13.416660311152294,0,4.7
A,3101,16,30.0,3,controller,-12.87415636122814,0,5.5
A,3101,16,30.0,3,nomp2d,-33.56283743552885,501,166.92
A,3101,16,30.0,4,grid,-11.04928663927275,0,0.31
A,3101,16,30.0,4,deterministic,-17.066923794845717,0,4.53
A,3101,16,30.0,4,controller,-11.97496233999535,0,5.33
A,3101,16,30.0,4,nomp2d,-32.41438903913788,492,164.39
A,3101,16,30.0,5,grid,-9.933014617371535,0,0.3
A,3101,16,30.0,5,deterministic,-13.334875047569756,0,4.55
A,3101,16,30.0,5,controller,-15.610560876209638,0,5.38
A,3101,16,30.0,5,nomp2d,-35.61157806043286,476,172.15
A,3102,4,0.0,0,grid,-3.3320580475620156,0,0.23
A,3102,4,0.0,0,deterministic,-4.594127704006069,0,1.39
A,3102,4,0.0,0,controller,-4.617127140868847,0,1.83
