seed,snr_db,L,scene,method,nmse_db,wall_ms,newton_updates
2,0,2,3,learned_scalar,-12.577612,24.486,0
2,0,2,3,nomp_inspired,-40.756779,70.912,6
2,0,2,3,parafac_als,-22.583636,14.440,0
2,0,2,4,grid,-7.755800,10.530,0
2,0,2,4,deterministic,-15.274625,21.029,0
2,0,2,4,learned_scalar,-15.966085,25.614,0
2,0,2,4,nomp_inspired,-44.512198,75.989,7
2,0,2,4,parafac_als,-22.903395,14.493,0
2,0,2,5,grid,-8.585624,10.009,0
2,0,2,5,deterministic,-11.414698,20.071,0
2,0,2,5,learned_scalar,-11.420986,24.430,0
2,0,2,5,nomp_inspired,-42.488168,74.400,7
2,0,2,5,parafac_als,-15.494709,14.243,0
2,0,4,1,grid,-5.341147,13.253,0
2,0,4,1,deterministic,-14.619802,36.735,0
2,0,4,1,learned_scalar,-14.418109,45.345,0
2,0,4,1,nomp_inspired,-32.806222,275.680,12
2,0,4,1,parafac_als,-19.359013,20.364,0
2,0,4,2,grid,-4.280317,16.316,0
2,0,4,2,deterministic,-12.507149,37.179,0
2,0,4,2,learned_scalar,-12.336170,48.015,0
2,0,4,2,nomp_inspired,-38.296928,278.722,18
2,0,4,2,parafac_als,-10.578472,20.661,0
2,0,4,3,grid,-5.209344,16.721,0
2,0,4,3,deterministic,-12.455978,37.410,0
2,0,4,3,learned_scalar,-12.452475,45.577,0
2,0,4,3,nomp_inspired,-39.764731,249.746,17
2,0,4,3,parafac_als,-19.583164,17.461,0
2,0,4,4,grid,-9.074782,13.789,0
2,0,4,4,deterministic,-12.016958,33.429,0
2,0,4,4,learned_scalar,-12.282359,42.413,0
2,0,4,4,nomp_inspired,-36.282198,303.151,17
2,0,4,4,parafac_als,-8.531013,23.817,0
2,0,4,5,grid,-5.563389,17.359,0
2,0,4,5,deterministic,-17.476885,39.131,0
2,0,4,5,learned_scalar,-17.635610,55.402,0
2,0,4,5,nomp_inspired,-38.683595,315.173,17
2,0,4,5,parafac_als,-17.500766,17.537,0
2,0,8,1,grid,-5.052285,35.346,0
2,0,8,1,deterministic,-11.074122,86.869,0
2,0,8,1,learned_scalar,-11.420443,114.330,0
2,0,8,1,nomp_inspired,-36.931278,1538.324,52
2,0,8,1,parafac_als,-12.126197,30.992,0
2,0,8,2,grid,-5.544441,39.319,0
2,0,8,2,deterministic,-14.108248,89.849,0
2,0,8,2,learned_scalar,-13.966258,119.519,0
2,0,8,2,nomp_inspired,-35.908249,1481.911,52
2,0,8,2,parafac_als,-11.924744,24.052,0
2,0,8,3,grid,-5.765677,30.639,0
2,0,8,3,deterministic,-11.835234,84.332,0
2,0,8,3,learned_scalar,-12.052478,112.791,0
2,0,8,3,nomp_inspired,-35.127328,1338.000,49
2,0,8,3,parafac_als,-12.001230,25.467,0
2,0,8,4,grid,-4.675294,33.785,0
2,0,8,4,deterministic,-11.438189,83.004,0
2,0,8,4,learned_scalar,-11.618366,109.988,0
2,0,8,4,nomp_inspired,-34.997965,1561.406,47
2,0,8,4,parafac_als,-9.674816,29.091,0
2,0,8,5,grid,-5.734355,34.757,0
2,0,8,5,deterministic,-12.911080,87.347,0
2,0,8,5,learned_scalar,-13.072628,127.320,0
2,0,8,5,nomp_inspired,-35.566474,1595.017,57
2,0,8,5,parafac_als,-15.106858,28.527,0
2,10,2,1,grid,-5.545976,10.113,0
2,10,2,1,deterministic,-7.956886,20.943,0
2,10,2,1,learned_scalar,-7.938667,25.399,0
2,10,2,1,nomp_inspired,-54.361514,82.743,6
2,10,2,1,parafac_als,-32.983352,17.163,0
2,10,2,2,grid,-3.346161,10.664,0
2,10,2,2,deterministic,-13.074500,21.805,0
2,10,2,2,learned_scalar,-12.166223,25.951,0
2,10,2,2,nomp_inspired,-55.609165,78.751,6
2,10,2,2,parafac_als,-32.864150,15.558,0
2,10,2,3,grid,-6.269754,10.809,0
2,10,2,3,deterministic,-19.926522,23.803,0
2,10,2,3,learned_scalar,-18.451956,29.423,0
2,10,2,3,nomp_inspired,-49.906060,85.477,5
2,10,2,3,parafac_als,-25.663622,17.577,0
2,10,2,4,grid,-3.133275,11.231,0
2,10,2,4,deterministic,-14.910326,21.761,0
2,10,2,4,learned_scalar,-13.829661,26.750,0
2,10,2,4,nomp_inspired,-54.197063,78.216,6
2,10,2,4,parafac_als,-32.548471,14.794,0
2,10,2,5,grid,-5.326188,10.969,0
2,10,2,5,deterministic,-12.797006,21.145,0
2,10,2,5,learned_scalar,-12.893452,25.603,0
2,10,2,5,nomp_inspired,-50.199099,76.110,7
2,10,2,5,parafac_als,-32.802193,14.779,0
2,10,4,1,grid,-4.370018,13.844,0
2,10,4,1,deterministic,-16.068341,34.178,0
2,10,4,1,learned_scalar,-15.032673,42.468,0
2,10,4,1,nomp_inspired,-46.887529,283.879,16
2,10,4,1,parafac_als,-8.969743,20.274,0
2,10,4,2,grid,-6.600689,17.281,0
2,10,4,2,deterministic,-12.829046,39.085,0
2,10,4,2,learned_scalar,-13.179057,47.310,0
2,10,4,2,nomp_inspired,-46.606803,252.424,16
2,10,4,2,parafac_als,-29.219758,20.183,0
2,10,4,3,grid,-5.194473,15.372,0
2,10,4,3,deterministic,-10.834947,34.829,0
2,10,4,3,learned_scalar,-11.075053,43.773,0
2,10,4,3,nomp_inspired,-47.617784,271.089,18
2,10,4,3,parafac_als,-13.002851,18.802,0
2,10,4,4,grid,-4.447692,14.522,0
2,10,4,4,deterministic,-9.825212,35.357,0
2,10,4,4,learned_scalar,-9.984242,44.789,0
2,10,4,4,nomp_inspired,-48.773399,277.547,14
2,10,4,4,parafac_als,-21.616984,20.926,0
2,10,4,5,grid,-5.917958,16.885,0
2,10,4,5,deterministic,-9.082645,37.819,0
2,10,4,5,learned_scalar,-9.286648,47.034,0
2,10,4,5,nomp_inspired,-48.415617,284.926,16
2,10,4,5,parafac_als,-10.402796,19.200,0
2,10,8,1,grid,-4.347657,31.451,0
2,10,8,1,deterministic,-14.381022,78.825,0
2,10,8,1,learned_scalar,-14.531107,105.195,0
2,10,8,1,nomp_inspired,-44.286173,1336.431,51
2,10,8,1,parafac_als,-11.616068,27.133,0
2,10,8,2,grid,-4.755129,33.022,0
2,10,8,2,deterministic,-11.956083,81.104,0
2,10,8,2,learned_scalar,-12.161545,109.946,0
2,10,8,2,nomp_inspired,-44.857921,1352.498,48
2,10,8,2,parafac_als,-14.939425,31.463,0
2,10,8,3,grid,-5.805363,32.065,0
2,10,8,3,deterministic,-12.286049,94.070,0
2,10,8,3,learned_scalar,-12.465640,124.270,0
2,10,8,3,nomp_inspired,-43.742996,1616.740,55
2,10,8,3,parafac_als,-11.614012,30.484,0
2,10,8,4,grid,-4.902696,40.848,0
2,10,8,4,deterministic,-10.313589,95.428,0
2,10,8,4,learned_scalar,-10.353341,125.914,0
2,10,8,4,nomp_inspired,-43.529916,1412.366,51
2,10,8,4,parafac_als,-9.822370,29.336,0
2,10,8,5,grid,-4.538567,40.055,0
2,10,8,5,deterministic,-13.063361,94.177,0
2,10,8,5,learned_scalar,-12.937662,123.300,0
2,10,8,5,nomp_inspired,-43.990641,1372.718,53
2,10,8,5,parafac_als,-19.892650,25.625,0
2,20,2,1,grid,-8.247022,17.037,0
2,20,2,1,deterministic,-12.841450,31.454,0
2,20,2,1,learned_scalar,-13.712402,40.146,0
2,20,2,1,nomp_inspired,-61.020860,92.912,7
2,20,2,1,parafac_als,-42.635258,15.414,0
2,20,2,2,grid,-4.353048,10.675,0
2,20,2,2,deterministic,-17.568648,24.429,0
2,20,2,2,learned_scalar,-16.303970,32.424,0
2,20,2,2,nomp_inspired,-60.673810,90.033,5
2,20,2,2,parafac_als,-7.780575,16.701,0
2,20,2,3,grid,-7.687070,12.120,0
2,20,2,3,deterministic,-13.321605,24.706,0
2,20,2,3,learned_scalar,-13.539273,31.547,0
2,20,2,3,nomp_inspired,-60.696525,91.150,7
2,20,2,3,parafac_als,-9.608170,14.484,0
2,20,2,4,grid,-4.832530,10.144,0
2,20,2,4,deterministic,-11.039864,20.327,0
2,20,2,4,learned_scalar,-11.416484,24.901,0
2,20,2,4,nomp_inspired,-59.997648,86.014,7
2,20,2,4,parafac_als,-43.160655,15.768,0
2,20,2,5,grid,-4.578966,12.120,0
2,20,2,5,deterministic,-20.312436,26.586,0
2,20,2,5,learned_scalar,-20.809220,33.536,0
2,20,2,5,nomp_inspired,-62.625443,90.324,6
2,20,2,5,parafac_als,-42.765005,15.275,0
2,20,4,1,grid,-5.788231,16.733,0
2,20,4,1,deterministic,-12.957096,38.482,0
2,20,4,1,learned_scalar,-13.265138,50.449,0
2,20,4,1,nomp_inspired,-55.980972,297.194,16
2,20,4,1,parafac_als,-16.213669,16.977,0
2,20,4,2,grid,-4.992652,16.671,0
2,20,4,2,deterministic,-12.230632,40.867,0
2,20,4,2,learned_scalar,-12.360455,54.160,0
2,20,4,2,nomp_inspired,-56.787253,309.773,17
2,20,4,2,parafac_als,-24.218146,18.101,0
2,20,4,3,grid,-4.749068,16.310,0
2,20,4,3,deterministic,-11.394535,41.537,0
2,20,4,3,learned_scalar,-11.182324,53.979,0
2,20,4,3,nomp_inspired,-57.983481,348.936,15
2,20,4,3,parafac_als,-12.411366,25.026,0
2,20,4,4,grid,-5.885969,17.315,0
2,20,4,4,deterministic,-10.350090,39.022,0
2,20,4,4,learned_scalar,-10.585584,47.797,0
2,20,4,4,nomp_inspired,-58.556815,373.569,21
2,20,4,4,parafac_als,-27.202240,22.529,0
2,20,4,5,grid,-4.933143,16.997,0
2,20,4,5,deterministic,-13.750539,40.347,0
2,20,4,5,learned_scalar,-14.375234,54.296,0
2,20,4,5,nomp_inspired,-56.706566,344.254,18
2,20,4,5,parafac_als,-17.713561,21.810,0
2,20,8,1,grid,-5.588824,47.356,0
2,20,8,1,deterministic,-11.445642,103.361,0
2,20,8,1,learned_scalar,-11.231962,132.879,0
2,20,8,1,nomp_inspired,-53.849294,1416.451,51
2,20,8,1,parafac_als,-14.714017,27.560,0
2,20,8,2,grid,-4.660058,31.346,0
2,20,8,2,deterministic,-15.205499,79.979,0
2,20,8,2,learned_scalar,-15.049432,110.410,0
2,20,8,2,nomp_inspired,-54.338027,1406.590,52
2,20,8,2,parafac_als,-7.710699,25.259,0
2,20,8,3,grid,-4.523312,33.217,0
2,20,8,3,deterministic,-12.238658,84.849,0
2,20,8,3,learned_scalar,-12.415390,114.724,0
2,20,8,3,nomp_inspired,-56.192190,1379.910,51
2,20,8,3,parafac_als,-16.036234,31.373,0
2,20,8,4,grid,-5.176314,30.501,0
2,20,8,4,deterministic,-10.317815,79.596,0
2,20,8,4,learned_scalar,-10.546280,106.501,0
2,20,8,4,nomp_inspired,-54.241287,1383.155,51
2,20,8,4,parafac_als,-9.851310,30.773,0
2,20,8,5,grid,-5.264655,32.415,0
