split,seed,separation_bins,dynamic_range_db,snr_db,sample_index,pair_axis,component_index,component_role,theory_ratio,theory_condition_satisfied,noiseless_candidate_gap,interference_envelope,noise_envelope,candidate_axis_correctness,candidate_all_axis_correct,grid_half_bin_hit,candan_half_bin_hit,local_half_bin_hit
validation,20260820,0.25,10.0,0.0,1,1,2,nuisance,0.08509222659816278,0.0,0.0034471191053226935,0.0015707151699590463,0.018684478771558523,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,1,1,3,nuisance,1.517773474200055,1.0,0.0586995676410772,0.0006529153254146432,0.018684478771558523,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,2,2,0,strong_pair,0.0628912236807442,0.0,0.039184484933036834,0.2950849286769985,0.016440930097428582,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,2,2,1,weak_pair,1.9809048395235345e-07,0.0,3.985054723592055e-07,0.9894263493602201,0.016440930097428582,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,0.0,2,2,2,nuisance,0.12928922078910293,0.0,0.004272734977949666,8.301115564528396e-05,0.016440930097428582,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,2,2,3,nuisance,0.9553981296518009,0.0,0.03168786201130391,0.0001426600456946267,0.016440930097428582,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,3,0,0,strong_pair,0.033158132545856873,0.0,0.015636346787974542,0.21673678557824097,0.0190477050945957,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,3,0,1,weak_pair,0.0012843585890321065,0.0,0.0025225673727382603,0.9629862043914104,0.0190477050945957,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,3,0,2,nuisance,5.313044617418337e-06,0.0,1.0499778209578127e-05,0.9690654170082709,0.0190477050945957,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,0.0,3,0,3,nuisance,0.14207264219792984,0.0,0.006197226412542056,0.002762357408177818,0.0190477050945957,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,4,1,0,strong_pair,0.023282575570522043,0.0,0.015183895689159899,0.30979187936096514,0.01628664324853854,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,4,1,1,weak_pair,0.007643943777684495,0.0,0.014572552609049827,0.9369223960168017,0.01628664324853854,0.6666666666666666,0.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,0.0,4,1,2,nuisance,1.3762123867256358e-05,0.0,2.7136924379366e-05,0.9696412789645342,0.01628664324853854,0.3333333333333333,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,0.0,4,1,3,nuisance,0.5805558152000141,0.0,0.019505990937725537,0.0005127672706768257,0.01628664324853854,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,0,0,0,strong_pair,0.022130784638359647,0.0,0.01375800546757322,0.30480449490385636,0.00602961451416778,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,0,0,1,weak_pair,0.0029530292135161976,0.0,0.0053612647661625545,0.9017271969700724,0.00602961451416778,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,0,0,2,nuisance,0.07893735305012206,0.0,0.0010211992212859622,0.00043880114601746483,0.00602961451416778,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,0,0,3,nuisance,4.108931000324503,1.0,0.05156103222074471,0.0002446490615253469,0.00602961451416778,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,1,1,0,strong_pair,0.010628845237054492,0.0,0.006541472399655857,0.30259032025307775,0.005132308770197781,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,1,1,1,weak_pair,7.828232221665288e-05,0.0,8.710509946780723e-05,0.5512199876444166,0.005132308770197781,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,10.0,1,1,2,nuisance,3.870498681570546e-06,0.0,7.728742320926765e-06,0.993284556442458,0.005132308770197781,0.3333333333333333,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,10.0,1,1,3,nuisance,3.596590593500084,1.0,0.03840195018573744,0.00020635143971589777,0.005132308770197781,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,2,2,0,strong_pair,0.10722400153525835,0.0,0.06896226584383813,0.31616524281222125,0.005415116325752891,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,2,2,1,weak_pair,0.012513680403340364,0.0,0.024844080721444062,0.9872616949987659,0.005415116325752891,0.6666666666666666,0.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,2,2,2,nuisance,0.36842159560915555,0.0,0.004119610537706486,0.00017577544987041452,0.005415116325752891,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,2,2,3,nuisance,0.17540632844068133,0.0,0.0019297377872784516,8.564811197675437e-05,0.005415116325752891,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,3,0,0,strong_pair,0.06980389459288429,0.0,0.04223143255634709,0.2961561333314536,0.006344413397726395,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,3,0,1,weak_pair,0.0020211250203623844,0.0,0.0039039853283026615,0.959450697981055,0.006344413397726395,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,3,0,2,nuisance,1.8888272793862548e-06,0.0,3.727088308207189e-06,0.9802699660330516,0.006344413397726395,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,10.0,3,0,3,nuisance,2.420982297933465,1.0,0.0316255368855799,0.00018713722793808218,0.006344413397726395,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,10.0,4,1,0,strong_pair,2.351146684960662e-05,0.0,4.575543408577012e-05,0.9679375821438497,0.0051074936578686,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,10.0,4,1,1,weak_pair,2.9704146833584017e-05,0.0,5.5194879156626893e-05,0.9239695046793235,0.0051074936578686,0.3333333333333333,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,10.0,4,1,2,nuisance,1.1561418202554931e-07,0.0,2.8991661193713923e-07,1.2487032709811583,0.0051074936578686,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,10.0,4,1,3,nuisance,0.9699967259077408,0.0,0.014852641782793441,0.0025485331028887964,0.0051074936578686,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,0,0,0,strong_pair,0.03395764679624292,0.0,0.020877961780079723,0.3056531397476973,0.001758647431702657,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,0,0,1,weak_pair,0.006330953371494698,0.0,0.012479931986322967,0.9838695237150179,0.001758647431702657,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,0,0,2,nuisance,4.6962473513286566e-07,0.0,9.269016954263272e-07,0.9850949253087635,0.001758647431702657,0.3333333333333333,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,20.0,0,0,3,nuisance,11.468455519995032,1.0,0.057112449896237094,0.0007313325746139142,0.001758647431702657,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,1,1,0,strong_pair,0.010550923689381687,0.0,0.005751960985357463,0.27095369507566214,0.0016272255477218012,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,1,1,1,weak_pair,0.0008181081146166014,0.0,0.0016030575019218563,0.978107282203197,0.0016272255477218012,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,1,1,2,nuisance,2.130168141425121e-06,0.0,4.198091242323443e-06,0.983762415927914,0.0016272255477218012,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,20.0,1,1,3,nuisance,11.39186265260353,1.0,0.040276514648681094,0.00014055009516115532,0.0016272255477218012,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,2,2,0,strong_pair,0.09445984689720638,0.0,0.053568934062559914,0.2816833182508716,0.0018706775588770669,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,2,2,1,weak_pair,0.005046329351961609,0.0,0.010008353767665013,0.9897762275103063,0.0018706775588770669,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,2,2,2,nuisance,2.1282482279935877e-05,0.0,4.141921006634789e-05,0.9712115391098989,0.0018706775588770669,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,20.0,2,2,3,nuisance,9.125109139348899,1.0,0.03955266595128237,0.00029656588705198427,0.0018706775588770669,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,3,0,0,strong_pair,0.0056917092486631965,0.0,0.0034591136541906042,0.30193932764707726,0.001933683347207205,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,3,0,1,weak_pair,0.003204526956355173,0.0,0.006060311524912432,0.9436522966511365,0.001933683347207205,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,3,0,2,nuisance,1.0411871767595927e-05,0.0,1.99877559064208e-05,0.9579204309066375,0.001933683347207205,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,10.0,20.0,3,0,3,nuisance,4.03675804804155,1.0,0.021662336410642524,0.0007494519996278738,0.001933683347207205,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,4,1,0,strong_pair,0.09285869415229807,0.0,0.058595221416208876,0.31380076608633595,0.001706693668086823,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,4,1,1,weak_pair,0.007340909441753436,0.0,0.014576271283224751,0.9911043060370865,0.001706693668086823,0.6666666666666666,0.0,0.0,1.0,1.0
validation,20260820,0.25,10.0,20.0,4,1,2,nuisance,3.146315930626672,1.0,0.011132409081412997,6.242445718607078e-05,0.001706693668086823,1.0,1.0,1.0,1.0,1.0
