profile,seed,snr_db,l_value,sample_index,component_index,delay_resolution_ns,spatial_resolution,gate_pass,grid_delay_error_bins,grid_projected_spatial_error_bins,candan_delay_error_bins,candan_projected_spatial_error_bins,gated_candan_delay_error_bins,gated_candan_projected_spatial_error_bins
D,20260628,20.0,16,8,1,130.20833333333334,0.25,0,0.006271998747252023,0.30078125,0.392812359811053,0.013597912515740163,0.006271998747252023,0.30078125
D,20260628,20.0,16,8,2,130.20833333333334,0.25,0,0.3854720600647851,0.4931640625,0.25304428608405505,0.0068359375,0.3854720600647851,0.4931640625
D,20260628,20.0,16,8,3,130.20833333333334,0.25,0,0.07903993921354407,0.970703125,0.5790399392135441,0.4489396846123017,0.07903993921354407,0.970703125
D,20260628,20.0,16,8,4,130.20833333333334,0.25,0,0.36319999000988895,0.0771484375,0.13680000999011105,0.4228515625,0.36319999000988895,0.0771484375
D,20260628,20.0,16,8,5,130.20833333333334,0.25,0,4.095615972299129,0.1201171875,4.401155448820461,0.6201171875,4.095615972299129,0.1201171875
D,20260628,20.0,16,8,6,130.20833333333334,0.25,0,5.237631944008172,0.322265625,4.737631944008172,1.0483699561573445,5.237631944008172,0.322265625
D,20260628,20.0,16,8,7,130.20833333333334,0.25,0,1.1042559567140413,0.328125,1.6042559567140413,1.171875,1.1042559567140413,0.328125
D,20260628,20.0,16,8,8,130.20833333333334,0.25,0,1.0268800005187655,0.9560546875,0.5268800005187556,0.9578559271706855,1.0268800005187655,0.9560546875
D,20260628,20.0,16,8,9,130.20833333333334,0.25,0,0.4700159843196161,0.994140625,0.9150719888699737,1.494140625,0.4700159843196161,0.994140625
D,20260628,20.0,16,8,10,130.20833333333334,0.25,0,3.6191995544359084,1.1259765625,3.532405094062881,0.919124115154994,3.6191995544359084,1.1259765625
D,20260628,20.0,16,8,11,130.20833333333334,0.25,0,0.046784018399193834,0.046875,0.4532159816008062,0.046875,0.046784018399193834,0.046875
D,20260628,20.0,16,8,12,130.20833333333334,0.25,0,4.455743907485157,1.181640625,5.683068531827615,0.818359375,4.455743907485157,1.181640625
D,20260628,20.0,16,9,0,130.20833333333334,0.25,0,0.0,0.0126953125,0.04234967507092766,0.008045812813497477,0.0,0.0126953125
D,20260628,20.0,16,9,1,130.20833333333334,0.25,0,0.07903993921354407,0.541015625,0.5790399392135441,0.05132570625903066,0.07903993921354407,0.541015625
D,20260628,20.0,16,9,2,130.20833333333334,0.25,0,0.006271998747252023,0.3798828125,0.49372800125274796,0.1201171875,0.006271998747252023,0.3798828125
D,20260628,20.0,16,9,3,130.20833333333334,0.25,0,4.095615972299129,0.0546875,4.03813711787285,1.4125850474217523,4.095615972299129,0.0546875
D,20260628,20.0,16,9,4,130.20833333333334,0.25,0,0.36319999000988895,0.064453125,0.8631999900098889,0.564453125,0.36319999000988895,0.064453125
D,20260628,20.0,16,9,5,130.20833333333334,0.25,0,0.6145279399352149,0.0087890625,0.6168025262145349,0.5087890625,0.6145279399352149,0.0087890625
D,20260628,20.0,16,9,6,130.20833333333334,0.25,0,0.026880000518758607,0.0205078125,0.45542014850143886,0.0205078125,0.026880000518758607,0.0205078125
D,20260628,20.0,16,9,7,130.20833333333334,0.25,0,0.23763194400817161,0.134765625,0.4326940319264238,0.365234375,0.23763194400817161,0.134765625
D,20260628,20.0,16,9,8,130.20833333333334,0.25,0,0.6191995544359096,1.0517578125,1.1191995544359081,0.6157513333560836,0.6191995544359096,1.0517578125
D,20260628,20.0,16,9,9,130.20833333333334,0.25,0,0.4700159843196161,0.9755859375,0.20328375659674694,0.0244140625,0.4700159843196161,0.9755859375
D,20260628,20.0,16,9,10,130.20833333333334,0.25,0,1.1042559567140413,0.16796875,1.6042559567140413,1.33203125,1.1042559567140413,0.16796875
D,20260628,20.0,16,9,11,130.20833333333334,0.25,0,0.046784018399193834,0.015625,0.4532159816008062,0.015625,0.046784018399193834,0.015625
D,20260628,20.0,16,9,12,130.20833333333334,0.25,0,1.4557439074851568,0.9404296875,1.3618908125394495,1.086859516806487,1.4557439074851568,0.9404296875
D,20260628,20.0,16,10,0,130.20833333333334,0.25,1,0.0,0.0048828125,0.060832920678294045,0.002377035664956395,0.060832920678294045,0.002377035664956395
D,20260628,20.0,16,10,1,130.20833333333334,0.25,1,0.07903993921354407,0.498046875,0.5790399392135441,0.2284213974545657,0.5790399392135441,0.2284213974545657
D,20260628,20.0,16,10,2,130.20833333333334,0.25,1,0.3854720600647851,0.341796875,0.11452793993521489,0.158203125,0.11452793993521489,0.158203125
