profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse,mean_physical_delay_rmse_ns,mean_projected_broadside_angle_rmse_deg,mean_matched_physical_paths,mean_clean_grid_physical_delay_rmse_ns,mean_clean_grid_projected_broadside_angle_rmse_deg,mean_physical_delay_rmse_gap_vs_clean_grid_ns,mean_projected_angle_rmse_gap_vs_clean_grid_deg
C,20260626.0,0.0,8.0,50.0,-8.080929494550585,0.92,0.8355470742194506,0.9974809735338412,0.8376158356739744,24.82,90.32,0.9325,0.9325,0.24956104474803684,0.3386516416286501,38.63166709329795,8.963695292084065,8.0,40.73183953629738,9.501774256466405,-2.1001724429994333,-0.5380789643823393
C,20260626.0,0.0,16.0,50.0,-10.338507212868837,0.875,0.9139632708028607,0.9933834057629606,0.9200990757876047,24.82,90.32,0.90875,0.89625,2.947317210551477,0.7100525845256488,268.78585469631275,53.89513579529279,16.0,126.44095764616297,54.71602972788482,142.34489705014977,-0.8208939325920451
C,20260626.0,10.0,4.0,50.0,-5.906791467839608,0.995,0.7223515674331717,0.9999758637699486,0.7223728281786508,24.82,90.32,1.0,0.995,0.0,0.02,22.760923401734434,10.407585626365714,4.0,22.760923401734434,10.46796138657721,0.0,-0.06037576021149576
C,20260626.0,10.0,8.0,50.0,-8.236231225360363,0.9625,0.8373140040378244,0.99963305055431,0.8376158356739744,24.82,90.32,0.9775,0.9625,0.11444842135240464,0.21247334195892484,41.13133485729614,9.509729057208443,8.0,40.73183953629738,9.501774256466405,0.39949532099875945,0.007954800742038123
C,20260626.0,10.0,16.0,50.0,-11.247209548565097,0.96625,0.9198019833662541,0.9996780257200852,0.9200990757876047,24.82,90.32,0.97375,0.96875,0.16486981268414574,0.2576660036173733,128.58453401346486,55.385781598582156,16.0,126.44095764616297,54.71602972788482,2.1435763673018795,0.6697518706973118
C,20260626.0,20.0,4.0,50.0,-5.910866553130071,1.0,0.7223728281786508,1.0,0.7223728281786508,24.82,90.32,1.0,1.0,0.0,0.0,22.760923401734434,10.46796138657721,4.0,22.760923401734434,10.46796138657721,0.0,0.0
C,20260626.0,20.0,8.0,50.0,-8.255271079160465,0.9925,0.8375983614337404,0.9999803377306403,0.8376158356739744,24.82,90.32,0.9925,0.9925,0.03,0.041462643699419724,40.3158696058632,9.513042493671572,8.0,40.73183953629738,9.501774256466405,-0.41596993043417824,0.011268237205166579
C,20260626.0,20.0,16.0,50.0,-11.307302849318942,0.98625,0.9200434522161881,0.9999402439969266,0.9200990757876047,24.82,90.32,0.9875,0.9875,0.0710311462168983,0.10309653771211603,125.8311373940802,54.656994284294406,16.0,126.44095764616297,54.71602972788482,-0.6098202520827831,-0.05903544359042939
C,20260626.0,30.0,4.0,50.0,-5.911187552194462,1.0,0.7223728281786508,1.0,0.7223728281786508,24.82,90.32,1.0,1.0,0.0,0.0,22.760923401734434,10.46796138657721,4.0,22.760923401734434,10.46796138657721,0.0,0.0
C,20260626.0,30.0,8.0,50.0,-8.256921108691325,0.995,0.8376081621296096,0.9999910696693238,0.8376158356739744,24.82,90.32,0.995,0.995,0.017071067811865473,0.02414213562373095,40.35949768072243,9.512844319569952,8.0,40.73183953629738,9.501774256466405,-0.37234185557495236,0.011070063103546045
C,20260626.0,30.0,16.0,50.0,-11.315111807168016,0.995,0.9200912581572644,0.9999915331984053,0.9200990757876047,24.82,90.32,0.9975,0.995,0.012071067811865475,0.04310221402876377,126.00092776737148,54.54588022005987,16.0,126.44095764616297,54.71602972788482,-0.44002987879147243,-0.17014950782495858
C,20260627.0,0.0,4.0,50.0,-6.411902857881013,0.945,0.7586251840869146,0.9969035091123252,0.7608673221955123,20.4,73.76,0.98,0.945,0.0623606797749979,0.24382546189725893,26.77850456038142,11.280451438188493,4.0,24.266285209300662,11.041850680966098,2.512219351080756,0.23860075722239568
C,20260627.0,0.0,8.0,50.0,-8.73620009190428,0.9125,0.8632192765190376,0.9972274462360192,0.8656471898685291,20.4,73.76,0.9275,0.92,0.24524510547748204,0.3653474451388769,33.502417756370825,8.34789807527258,8.0,35.02757824028495,8.236349171249168,-1.5251604839141182,0.1115489040234128
