profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,physical_delay_rmse_ns,projected_broadside_angle_rmse_deg,matched_physical_paths,clean_grid_physical_delay_rmse_ns,clean_grid_projected_broadside_angle_rmse_deg,physical_delay_rmse_gap_vs_clean_grid_ns,projected_angle_rmse_gap_vs_clean_grid_deg,physical_truth_path_count,noise_variance
A,20260626.0,22.0,0.0,8.0,-8.606340542480977,1.0,0.8681250408420595,1.0,0.8681250408420595,28.0,124.0,1.0,1.0,0.0,0.0,85.5252755532082,39.950564517472046,8.0,85.5252755532082,39.950564517472046,0.0,0.0,23.0,1.0000000117268963
A,20260626.0,23.0,0.0,8.0,-6.7118689740474204,1.0,0.7906558480243153,1.0000000000000002,0.7906558480243152,48.0,212.0,1.0,1.0,0.0,0.0,60.07436294323145,35.16623654041434,8.0,60.07436294323145,35.16623654041434,0.0,0.0,23.0,1.000000099959899
A,20260626.0,24.0,0.0,8.0,-8.123321865820008,1.0,0.847740296342445,1.0,0.847740296342445,43.0,195.0,1.0,1.0,0.0,0.0,47.77107105061861,34.32808578743904,8.0,47.77107105061861,34.32808578743904,0.0,0.0,23.0,0.9999999632338247
A,20260626.0,25.0,0.0,8.0,-6.932087427150688,0.875,0.7995413783411806,0.9953067162645461,0.8033115473609119,45.0,205.0,1.0,0.875,0.0,0.3535533905932738,82.2760969691866,34.346700395623834,8.0,82.2760969691866,33.28646374716677,0.0,1.0602366484570638,23.0,0.9999999569286913
A,20260626.0,26.0,0.0,8.0,-7.066857180470748,1.0,0.8087505554062774,1.0000000000000002,0.8087505554062773,38.0,158.0,1.0,1.0,0.0,0.0,70.63797388798193,39.13843650958398,8.0,70.63797388798193,39.13843650958398,0.0,0.0,23.0,1.00000006515145
A,20260626.0,27.0,0.0,8.0,-9.743016668496947,1.0,0.9004525675958169,1.0,0.9004525675958169,19.0,72.0,1.0,1.0,0.0,0.0,63.711279363540584,38.85069095231418,8.0,63.711279363540584,38.85069095231418,0.0,0.0,23.0,0.9999999503670882
A,20260626.0,28.0,0.0,8.0,-4.8695864583224315,1.0,0.6771921424023994,1.0,0.6771921424023994,81.0,334.0,1.0,1.0,0.0,0.0,51.259940004957265,39.682517544880724,8.0,51.259940004957265,39.682517544880724,0.0,0.0,23.0,0.9999999858250643
A,20260626.0,29.0,0.0,8.0,-8.112977232454178,0.875,0.8479083702914245,0.9941392087615039,0.8529070806368725,33.0,149.0,0.875,1.0,0.6123724356957945,0.0,70.14822721397557,38.913150390286866,8.0,60.93464202615767,38.913150390286866,9.213585187817905,0.0,23.0,0.9999999702605877
A,20260626.0,30.0,0.0,8.0,-8.876780226802698,1.0,0.8728073417624558,1.0,0.8728073417624558,25.0,112.0,1.0,1.0,0.0,0.0,66.78064181186737,35.69697380633956,8.0,66.78064181186737,35.69697380633956,0.0,0.0,23.0,0.9999999090958394
A,20260626.0,31.0,0.0,8.0,-6.655025197374664,1.0,0.788586243847347,1.0,0.788586243847347,52.0,228.0,1.0,1.0,0.0,0.0,70.6324538231704,37.824544147871386,8.0,70.6324538231704,37.824544147871386,0.0,0.0,23.0,0.9999997232978964
A,20260626.0,32.0,0.0,8.0,-8.135542834499446,0.875,0.8500428672553083,0.9962000439690952,0.8532853139300594,36.0,174.0,0.875,1.0,0.6123724356957945,0.0,85.83024085924615,30.200418161572877,8.0,80.57656659165885,30.200418161572877,5.2536742675873,0.0,23.0,0.999999981766174
A,20260626.0,33.0,0.0,8.0,-7.802729269385438,0.875,0.8366577702102203,0.9997964986793748,0.8368280658267522,30.0,133.0,0.875,0.875,0.6123724356957945,0.3535533905932738,39.635595016627015,33.85789620854676,8.0,47.846662885163695,33.8773917808623,-8.21106786853668,-0.01949557231553456,23.0,1.0000000741981754
A,20260626.0,34.0,0.0,8.0,-10.476354615314353,1.0,0.9125690168377864,0.9999999999999999,0.9125690168377865,21.0,121.0,1.0,1.0,0.0,0.0,89.30178843341497,40.70824116862337,8.0,89.30178843341497,40.70824116862337,0.0,0.0,23.0,1.0000000515717735
A,20260626.0,35.0,0.0,8.0,-7.599803159184154,0.875,0.8304525398251467,0.994382161398587,0.8351442454047293,41.0,186.0,0.875,1.0,0.6123724356957945,0.0,67.27251721578119,38.39962101046693,8.0,60.148281692796154,38.39962101046693,7.124235522985039,0.0,23.0,1.000000059631847
A,20260626.0,36.0,0.0,8.0,-11.625510340575005,1.0,0.9335183217359352,1.0,0.9335183217359352,12.0,73.0,1.0,1.0,0.0,0.0,54.48901490204955,42.82562901856552,8.0,54.48901490204955,42.82562901856552,0.0,0.0,23.0,1.0000000830553186
A,20260626.0,37.0,0.0,8.0,-7.646669062404767,1.0,0.8312305712292051,1.0,0.8312305712292051,38.0,173.0,1.0,1.0,0.0,0.0,80.81474589364977,34.09366730633736,8.0,80.81474589364977,34.09366730633736,0.0,0.0,23.0,0.9999998782611859
